Symbol,Initial_Investment,Shares_Bought,Start_Price,End_Price,Current_Value,Gain_Loss,Return_Percent
AAPL,100.0,0.4010588011098146,249.33999633789065,262.7699890136719,105.3862167614624,5.386216761462407,5.38621676146242
GOOGL,100.0,0.3983587638380982,251.02999877929688,250.4600067138672,99.77293866541791,-0.2270613345820891,-0.2270613345820946
MSFT,100.0,0.1947685203952384,513.4299926757812,517.6599731445312,100.8238670371992,0.823867037199193,0.8238670371991944
TSLA,100.0,0.22980581731040653,435.1499938964844,442.6000061035156,101.71205614420933,1.7120561442093276,1.7120561442093218
V,100.0,0.28927651738192744,345.69000244140625,347.2099914550781,100.43969712833379,0.4396971283337905,0.4396971283337909
META,100.0,0.13936311295548726,717.5499877929688,733.27001953125,102.19079255880594,2.1907925588059385,2.190792558805934
UNH,100.0,0.2768932623287342,361.1499938964844,365.3699951171875,101.16848990503172,1.16848990503172,1.1684899050317288
JPM,100.0,0.3271287879922331,305.69000244140625,297.0899963378906,97.18669042663113,-2.813309573368869,-2.8133095733688736
NVDA,100.0,0.5560807372617792,179.8300018310547,181.16000366210935,100.73958839877238,0.7395883987723835,0.739588398772407
AMZN,100.0,0.4638864248383094,215.57000732421875,222.02999877929688,102.99670234058222,2.9967023405822175,2.9967023405822197
