Symbol,Company_Name,Sector,Current_Price,Daily_Change_Pct,Volume,Composite_Score,Technical_Score,ML_Score,ML_Confidence,Momentum_Score,Volume_Score,Sentiment_Score,RSI,MACD,Analysis_Date
MSFT,N/A,N/A,520.54,0.5563497276204421,18962694.0,62.8,63.333333333333336,50.0,0.0,95.0,46.666666666666664,53.0,,,2025-10-23 10:01:09
GOOGL,N/A,N/A,251.69,0.49109638265592004,35029370.0,58.2,63.333333333333336,50.0,0.0,72.0,46.666666666666664,53.0,,,2025-10-23 10:01:21
META,N/A,N/A,733.41,0.019092557993638515,8734491.0,55.2,43.333333333333336,50.0,0.0,97.0,33.333333333333336,53.0,,,2025-10-23 10:01:57
AAPL,N/A,N/A,258.45,-1.6440232903299434,45015254.0,54.400000000000006,53.333333333333336,50.0,0.0,58.0,60.0,53.0,,,2025-10-23 10:00:57
UNH,N/A,N/A,361.49,-1.0619372143306771,7833031.0,50.0,53.333333333333336,50.0,0.0,51.0,40.0,53.0,,,2025-10-23 10:02:45
TSLA,N/A,N/A,438.97,-0.8201536375960217,84023458.0,49.400000000000006,53.333333333333336,50.0,0.0,48.0,40.0,53.0,,,2025-10-23 10:01:45
NVDA,N/A,N/A,180.28,-0.4857584455729702,162249552.0,48.400000000000006,43.333333333333336,50.0,0.0,58.0,40.0,53.0,,,2025-10-23 10:02:09
V,N/A,N/A,345.36,-0.5328187552201769,5074406.0,47.599999999999994,53.333333333333336,50.0,0.0,44.0,33.333333333333336,53.0,,,2025-10-23 10:02:33
AMZN,N/A,N/A,217.95,-1.8375895149304156,44308538.0,46.400000000000006,33.333333333333336,50.0,0.0,48.0,60.0,53.0,,,2025-10-23 10:01:33
JPM,N/A,N/A,294.11,-1.0030630448685462,8054115.0,41.2,33.333333333333336,50.0,0.0,42.0,33.333333333333336,53.0,,,2025-10-23 10:02:21
