Symbol,Company_Name,Sector,Current_Price,Daily_Change_Pct,Volume,Composite_Score,Technical_Score,ML_Score,ML_Confidence,Momentum_Score,Volume_Score,Sentiment_Score,RSI,MACD,Analysis_Date
AAPL,Apple Inc.,Technology,262.239990234375,3.943873008454002,90370300,70.81766528998784,70.0,50.0,0.0,100.0,80.0,53.176652899878505,,,2025-10-21 14:57:44
GOOGL,Alphabet Inc.,Communication Services,256.54998779296875,1.2830575215377449,22328900,62.80625311256495,53.333333333333336,50.0,0.0,100.0,60.0,53.06253112564953,,,2025-10-21 14:57:55
MSFT,Microsoft Corporation,Technology,516.7899780273438,0.6250167122328731,14656200,58.01766528998785,53.333333333333336,50.0,0.0,91.0,40.0,53.176652899878505,,,2025-10-21 14:57:49
TSLA,"Tesla, Inc.",Consumer Cyclical,447.42999267578125,1.8483519979771268,63496200,57.97275620605573,53.333333333333336,50.0,0.0,91.0,40.0,52.72756206055723,,,2025-10-21 14:58:06
V,Visa Inc.,Financial Services,344.4100036621094,0.7370759325226794,4664500,57.97275620605573,53.333333333333336,50.0,0.0,91.0,40.0,52.72756206055723,,,2025-10-21 14:58:27
META,"Meta Platforms, Inc.",Communication Services,732.1699829101562,2.127155102874445,8885400,57.80625311256495,43.333333333333336,50.0,0.0,100.0,46.666666666666664,53.06253112564953,,,2025-10-21 14:58:11
UNH,UnitedHealth Group Incorporated,Healthcare,364.4800109863281,2.209760164873642,5983800,57.00382202841691,53.333333333333336,50.0,0.0,85.0,40.0,55.03822028416915,,,2025-10-21 14:58:33
JPM,JPMorgan Chase & Co.,Financial Services,302.3599853515625,1.6131159538753437,6892400,47.17275620605572,43.333333333333336,50.0,0.0,62.0,26.666666666666668,52.72756206055723,,,2025-10-21 14:58:22
NVDA,NVIDIA Corporation,Technology,182.63999938964844,-0.31656032485013474,128208800,46.01766528998785,43.333333333333336,50.0,0.0,46.0,40.0,53.176652899878505,,,2025-10-21 14:58:16
AMZN,"Amazon.com, Inc.",Consumer Cyclical,216.47999572753906,1.6147214372026486,38795700,45.17275620605572,33.333333333333336,50.0,0.0,62.0,33.333333333333336,52.72756206055723,,,2025-10-21 14:58:00
